Drug Name,Condition,Company,Is_Allowed
Rilutek,ALS,NEWERA,0
Riluzole,ALS,NEWERA,0
Exelon,Alzheimer Disease,AETNA,0
Aduhelm,Alzheimer’s Disease,MOO,0
Leqembi,Alzheimer’s Disease,MOO,0
Memantine,Alzheimer’s Disease,MOO,0
Namenda,Alzheimer’s Disease,MOO,0
Namenda XR,Alzheimer’s Disease,MOO,0
Namzaric,Alzheimer’s Disease,MOO,0
Razadyne ER,Alzheimer’s Disease,MOO,0
Aducanumab,Alzheimers,MOO,0
Aducanumab,Alzheimer's Disease,NEWERA,0
Aduhelm,Alzheimer's Disease,NEWERA,0
Aricept,Alzheimer's Disease,MEDICO,0
Aricept,Alzheimer's Disease,NEWERA,0
Aricept ODT,Alzheimer's Disease,MOO,0
Cognex,Alzheimer's Disease,MEDICO,0
Cognex,Alzheimer's Disease,NEWERA,0
Deapril-ST,Alzheimer's Disease,NEWERA,0
Donanemab,Alzheimer's Disease,MOO,0
Donepezil,Alzheimer's Disease,MEDICO,0
Donepezil,Alzheimer's Disease,MOO,0
Donepezil,Alzheimer's Disease,NEWERA,0
Ebixa,Alzheimer's Disease,MOO,0
Enfolast,Alzheimer's Disease,NEWERA,0
Etravirine,Alzheimer's Disease,NEWERA,0
Exelon,Alzheimer's Disease,MEDICO,0
Exelon,Alzheimer's Disease,NEWERA,0
Intelence,Alzheimer's Disease,NEWERA,0
Memantine,Alzheimer's Disease,MAN,0
Memantine,Alzheimer's Disease,MEDICO,0
Memantine,Alzheimer's Disease,NEWERA,0
Memantine And Donepezil,Alzheimer's Disease,MAN,0
Namenda,Alzheimer's Disease,MAN,0
Namenda,Alzheimer's Disease,MEDICO,0
Namenda,Alzheimer's Disease,NEWERA,0
Namenda XR,Alzheimer's Disease,MAN,0
Namzaric,Alzheimer's Disease,MAN,0
Razadyne,Alzheimer's Disease,MEDICO,0
Reminyl,Alzheimer's Disease,MEDICO,0
Rivastigmine,Alzheimer's Disease,MEDICO,0
Rivastigmine,Alzheimer's Disease,NEWERA,0
Tacrine,Alzheimer's Disease,MEDICO,0
Tacrine,Alzheimer's Disease,NEWERA,0
Qalsody,Amyotrohic Lateral Sclerosis (ALS),MOO,0
Radicaca,Amyotrohic Lateral Sclerosis (ALS),MOO,0
Relyvrio,Amyotrohic Lateral Sclerosis (ALS),MOO,0
Rilutek,Amyotrohic Lateral Sclerosis (ALS),MOO,0
Riluzole,Amyotrohic Lateral Sclerosis (ALS),MOO,0
Tiglutik,Amyotrohic Lateral Sclerosis (ALS),MOO,0
Rilutek,Amyotrophic Lateral Sclerosis,ACE,0
Riluzole,Amyotrophic Lateral Sclerosis,ACE,0
Rilutek,Amyotrophic Lateral Sclerosis (ALS),MAN,0
Rilutek,Amyotrophic Lateral Sclerosis (ALS),MEDICO,0
Riluzole,Amyotrophic Lateral Sclerosis (ALS),MEDICO,0
Procrit,Anemia with Renal Failure,MEDICO,0
Adalat,Angina,AETNA,1
Afeditab,Angina,AETNA,1
Aggrastat,Angina,NEWERA,0
Amlodipine,Angina,AETNA,1
Aspirin,Angina,AETNA,1
Atenolol,Angina,AETNA,1
Brilinta,Angina,AETNA,0
Calan,Angina,AETNA,1
Cardizem,Angina,AETNA,1
Cartia,Angina,AETNA,1
Cerespan,Angina,AETNA,1
Clopidogrel,Angina,AETNA,1
Covera,Angina,AETNA,1
Diltiazem,Angina,AETNA,1
Effient,Angina,AETNA,1
Enoxaparin,Angina,AETNA,1
Gonitro,Angina,AETNA,1
Imdur,Angina,AETNA,1
Imdur,Angina,NEWERA,0
Inderal,Angina,AETNA,1
Isoptin,Angina,AETNA,1
Isosorbide,Angina,AETNA,1
Isosorbide,Angina,NEWERA,0
Katerzia,Angina,AETNA,1
Lopressor,Angina,AETNA,1
Lovenox,Angina,AETNA,1
Metoprolol,Angina,AETNA,1
Monket,Angina,AETNA,1
Nifediac,Angina,AETNA,1
Nifedical,Angina,AETNA,1
Nifedipine,Angina,AETNA,1
Nitro Patch,Angina,MEDICO,0
Nitroglycerin,Angina,AETNA,1
Nitroglycerin,Angina,MEDICO,0
Nitroglycerin,Angina,NEWERA,0
Nitrolingual,Angina,AETNA,1
Nitrolingual Spray,Angina,MEDICO,0
Nitrostat,Angina,AETNA,1
Nitrostat,Angina,MEDICO,0
Nitro-Time,Angina,AETNA,1
Norvasc,Angina,AETNA,1
Papacon,Angina,AETNA,1
Papaverine,Angina,AETNA,0
Pavabid,Angina,AETNA,0
Pavacot,Angina,AETNA,1
Pavagen,Angina,AETNA,1
Pentopak,Angina,AETNA,0
Pentoxifylline,Angina,AETNA,0
Plavix,Angina,AETNA,1
Prasugrel,Angina,AETNA,1
Procardia,Angina,AETNA,1
Propranolol,Angina,AETNA,1
Ranexa,Angina,AETNA,1
Ranexa,Angina,NEWERA,0
Ranolazine,Angina,AETNA,1
Ranolazine,Angina,NEWERA,0
Taztia,Angina,AETNA,1
Tenormin,Angina,AETNA,1
Tiazac,Angina,AETNA,1
Ticagrelor,Angina,AETNA,0
Tirofiban,Angina,NEWERA,0
Toprol,Angina,AETNA,1
Verapamil,Angina,AETNA,1
Verelan,Angina,AETNA,1
Enbrel,Ankylosing Spondylitis,MEDICO,0
3TC,Any Condition,ELIPS,0
3TC,Any Condition,LUMICO,0
Abacavir,Any Condition,AETNA,0
Abacavir,Any Condition,CIGNA-CHLIC,0
Abacavir,Any Condition,CIGNA-CNHIC,0
Abacavir,Any Condition,CIGNA-LOYAL,0
"Abacavir, Dolutegravir And Lamivudine",Any Condition,AETNA,0
Abatacept,Any Condition,AETNA,0
Abatacept,Any Condition,CIGNA-CHLIC,0
Abatacept,Any Condition,ELIPS,0
Abatacept,Any Condition,LUMICO,0
Abatacept,Any Condition,CIGNA-CNHIC,0
Abatacept,Any Condition,CIGNA-LOYAL,0
Abemaciclib,Any Condition,AETNA,0
Abilify,Any Condition,AETNA,0
Abilify,Any Condition,BFAM,0
Abilify,Any Condition,CIGNA-CHLIC,0
Abilify,Any Condition,ELIPS,0
Abilify,Any Condition,LUMICO,0
Abilify,Any Condition,CIGNA-CNHIC,0
Abilify,Any Condition,CIGNA-LOYAL,0
Abiraterone,Any Condition,AETNA,0
Abiraterone,Any Condition,ELIPS,0
Abiraterone,Any Condition,LUMICO,0
Abiraterone Acetate,Any Condition,CIGNA-CHLIC,0
Abiraterone Acetate,Any Condition,CIGNA-CNHIC,0
Abiraterone Acetate,Any Condition,CIGNA-LOYAL,0
Abstral,Any Condition,AETNA,0
Abstral,Any Condition,CIGNA-CHLIC,0
Abstral,Any Condition,ELIPS,0
Abstral,Any Condition,LUMICO,0
Abstral,Any Condition,CIGNA-CNHIC,0
Abstral,Any Condition,CIGNA-LOYAL,0
Acamprosate,Any Condition,AETNA,0
Acamprosate,Any Condition,CIGNA-CHLIC,0
Acamprosate,Any Condition,ELIPS,0
Acamprosate,Any Condition,LUMICO,0
Acamprosate,Any Condition,CIGNA-CNHIC,0
Acamprosate,Any Condition,CIGNA-LOYAL,0
Accesspak,Any Condition,AETNA,0
Acetylcysteine,Any Condition,CIGNA-CHLIC,0
Acetylcysteine,Any Condition,CIGNA-CNHIC,0
Acetylcysteine,Any Condition,CIGNA-LOYAL,0
Aclasta,Any Condition,AETNA,0
Aclasta,Any Condition,ELIPS,0
Aclasta,Any Condition,LUMICO,0
Actemra,Any Condition,AETNA,0
Actemra,Any Condition,ELIPS,0
Actemra,Any Condition,LUMICO,0
Actemra Actpen,Any Condition,CIGNA-CHLIC,0
Actemra Actpen,Any Condition,CIGNA-CNHIC,0
Actemra Actpen,Any Condition,CIGNA-LOYAL,0
Actigall,Any Condition,AETNA,0
Actimmune,Any Condition,AETNA,0
Actimmune,Any Condition,ELIPS,0
Actimmune,Any Condition,LUMICO,0
Actiq,Any Condition,AETNA,0
Actiq,Any Condition,CIGNA-CHLIC,0
Actiq,Any Condition,ELIPS,0
Actiq,Any Condition,LUMICO,0
Actiq,Any Condition,CIGNA-CNHIC,0
Actiq,Any Condition,CIGNA-LOYAL,0
Adakveo,Any Condition,AETNA,0
Adalimumab,Any Condition,AETNA,0
Adalimumab,Any Condition,CIGNA-CHLIC,0
Adalimumab,Any Condition,ELIPS,0
Adalimumab,Any Condition,LUMICO,0
Adalimumab,Any Condition,CIGNA-CNHIC,0
Adalimumab,Any Condition,CIGNA-LOYAL,0
Adcetris,Any Condition,AETNA,0
Adcetris,Any Condition,ELIPS,0
Adcetris,Any Condition,LUMICO,0
Adefovir,Any Condition,AETNA,0
Adriamycin,Any Condition,AETNA,0
Adriamycin,Any Condition,ELIPS,0
Adriamycin,Any Condition,LUMICO,0
Adrucil,Any Condition,AETNA,0
Afinitor,Any Condition,AETNA,0
Afinitor,Any Condition,CIGNA-CHLIC,0
Afinitor,Any Condition,ELIPS,0
Afinitor,Any Condition,LUMICO,0
Afinitor,Any Condition,CIGNA-CNHIC,0
Afinitor,Any Condition,CIGNA-LOYAL,0
Afrezza,Any Condition,AETNA,0
Afrezza,Any Condition,ELIPS,0
Afrezza,Any Condition,LUMICO,0
Agrylin,Any Condition,AETNA,0
Agrylin,Any Condition,CIGNA-CHLIC,0
Agrylin,Any Condition,ELIPS,0
Agrylin,Any Condition,LUMICO,0
Agrylin,Any Condition,CIGNA-CNHIC,0
Agrylin,Any Condition,CIGNA-LOYAL,0
Aldesleukin,Any Condition,ELIPS,0
Aldesleukin,Any Condition,LUMICO,0
Alefacept,Any Condition,AETNA,0
Alefacept,Any Condition,ELIPS,0
Alefacept,Any Condition,LUMICO,0
Alemtuzumab,Any Condition,AETNA,0
Alemtuzumab,Any Condition,ELIPS,0
Alemtuzumab,Any Condition,LUMICO,0
Alfa-2b-Njft,Any Condition,CIGNA-CHLIC,0
Alfa-2b-Njft,Any Condition,CIGNA-CNHIC,0
Alfa-2b-Njft,Any Condition,CIGNA-LOYAL,0
Alferon,Any Condition,ELIPS,0
Alferon,Any Condition,LUMICO,0
Alferon N,Any Condition,AETNA,0
Alkeran,Any Condition,AETNA,0
Alkeran,Any Condition,CIGNA-CHLIC,0
Alkeran,Any Condition,ELIPS,0
Alkeran,Any Condition,LUMICO,0
Alkeran,Any Condition,CIGNA-CNHIC,0
Alkeran,Any Condition,CIGNA-LOYAL,0
Amantadine,Any Condition,BFAM,0
Amantadine,Any Condition,ELIPS,0
Amantadine,Any Condition,LUMICO,0
Amaryl,Any Condition,ELIPS,0
Amaryl,Any Condition,LUMICO,0
Ambenonium,Any Condition,AETNA,0
Ambenonium,Any Condition,ELIPS,0
Ambenonium,Any Condition,LUMICO,0
Amevive,Any Condition,AETNA,0
Amevive,Any Condition,ELIPS,0
Amevive,Any Condition,LUMICO,0
Aminosalicylic Acid,Any Condition,AETNA,1
Amiodarone,Any Condition,AETNA,0
Amiodarone,Any Condition,ELIPS,0
Amiodarone,Any Condition,LUMICO,0
Amjevita,Any Condition,CIGNA-CHLIC,0
Amjevita,Any Condition,ELIPS,0
Amjevita,Any Condition,LUMICO,0
Amjevita,Any Condition,CIGNA-CNHIC,0
Amjevita,Any Condition,CIGNA-LOYAL,0
Ampyra,Any Condition,AETNA,0
Ampyra,Any Condition,CIGNA-CHLIC,0
Ampyra,Any Condition,ELIPS,0
Ampyra,Any Condition,LUMICO,0
Ampyra,Any Condition,CIGNA-CNHIC,0
Ampyra,Any Condition,CIGNA-LOYAL,0
Anagrelide,Any Condition,AETNA,0
Anagrelide,Any Condition,CIGNA-CHLIC,0
Anagrelide,Any Condition,ELIPS,0
Anagrelide,Any Condition,LUMICO,0
Anagrelide,Any Condition,CIGNA-CNHIC,0
Anagrelide,Any Condition,CIGNA-LOYAL,0
Anakinra,Any Condition,AETNA,0
Anakinra,Any Condition,CIGNA-CHLIC,0
Anakinra,Any Condition,CIGNA-CNHIC,0
Anakinra,Any Condition,CIGNA-LOYAL,0
Anandron,Any Condition,AETNA,0
Anastrozole,Any Condition,AETNA,0
Anastrozole3,Any Condition,ELIPS,0
Anastrozole3,Any Condition,LUMICO,0
Anoro Ellipta,Any Condition,BFAM,0
Antabuse,Any Condition,AETNA,0
Antabuse,Any Condition,CIGNA-CHLIC,0
Antabuse,Any Condition,ELIPS,0
Antabuse,Any Condition,LUMICO,0
Antabuse,Any Condition,CIGNA-CNHIC,0
Antabuse,Any Condition,CIGNA-LOYAL,0
Apalutamide,Any Condition,AETNA,0
Apixaban,Any Condition,ELIPS,0
Apixaban,Any Condition,LUMICO,0
Apokyn,Any Condition,AETNA,0
Apokyn,Any Condition,ELIPS,0
Apokyn,Any Condition,LUMICO,0
Apomorphine,Any Condition,AETNA,0
Apomorphine,Any Condition,ELIPS,0
Apomorphine,Any Condition,LUMICO,0
Apremilast,Any Condition,AETNA,0
Aptivus,Any Condition,CIGNA-CHLIC,0
Aptivus,Any Condition,CIGNA-CNHIC,0
Aptivus,Any Condition,CIGNA-LOYAL,0
Arabinosylcytosine,Any Condition,AETNA,0
Aralast,Any Condition,ELIPS,0
Aralast,Any Condition,LUMICO,0
Aranesp,Any Condition,AETNA,0
Aranesp,Any Condition,CIGNA-CHLIC,0
Aranesp,Any Condition,CIGNA-CNHIC,0
Aranesp,Any Condition,CIGNA-LOYAL,0
Arava,Any Condition,AETNA,0
Arava,Any Condition,CIGNA-CHLIC,0
Arava,Any Condition,ELIPS,0
Arava,Any Condition,LUMICO,0
Arava,Any Condition,CIGNA-CNHIC,0
Arava,Any Condition,CIGNA-LOYAL,0
Aredia,Any Condition,AETNA,0
Aricept,Any Condition,AETNA,0
Aricept,Any Condition,CIGNA-CHLIC,0
Aricept,Any Condition,ELIPS,0
Aricept,Any Condition,LUMICO,0
Aricept,Any Condition,CIGNA-CNHIC,0
Aricept,Any Condition,CIGNA-LOYAL,0
Arimidex,Any Condition,AETNA,0
Arimidex,Any Condition,ELIPS,0
Arimidex,Any Condition,LUMICO,0
Aripiprazole,Any Condition,AETNA,0
Aripiprazole,Any Condition,BFAM,0
Aripiprazole,Any Condition,CIGNA-CHLIC,0
Aripiprazole,Any Condition,ELIPS,0
Aripiprazole,Any Condition,LUMICO,0
Aripiprazole,Any Condition,CIGNA-CNHIC,0
Aripiprazole,Any Condition,CIGNA-LOYAL,0
Aristada,Any Condition,CIGNA-CHLIC,0
Aristada,Any Condition,ELIPS,0
Aristada,Any Condition,LUMICO,0
Aromasin,Any Condition,AETNA,0
Aromasin,Any Condition,CIGNA-CHLIC,0
Aromasin,Any Condition,ELIPS,0
Aromasin,Any Condition,LUMICO,0
Aromasin,Any Condition,CIGNA-CNHIC,0
Aromasin,Any Condition,CIGNA-LOYAL,0
Artane,Any Condition,ELIPS,0
Artane,Any Condition,LUMICO,0
Arymo Er,Any Condition,CIGNA-CHLIC,0
Arymo Er,Any Condition,CIGNA-CNHIC,0
Arymo Er,Any Condition,CIGNA-LOYAL,0
Asacol,Any Condition,BFAM,0
Asceniv,Any Condition,CIGNA-CHLIC,0
Asceniv,Any Condition,CIGNA-CNHIC,0
Asceniv,Any Condition,CIGNA-LOYAL,0
Asenapine,Any Condition,CIGNA-CHLIC,0
Asenapine,Any Condition,CIGNA-CNHIC,0
Asenapine,Any Condition,CIGNA-LOYAL,0
Astagraf XL,Any Condition,AETNA,0
Astagraf XL,Any Condition,CIGNA-CHLIC,0
Astagraf XL,Any Condition,CIGNA-CNHIC,0
Astagraf XL,Any Condition,CIGNA-LOYAL,0
Astramorph,Any Condition,CIGNA-CHLIC,0
Astramorph,Any Condition,ELIPS,0
Astramorph,Any Condition,LUMICO,0
Astramorph,Any Condition,CIGNA-CNHIC,0
Astramorph,Any Condition,CIGNA-LOYAL,0
Atamet,Any Condition,ELIPS,0
Atamet,Any Condition,LUMICO,0
Atazanavir,Any Condition,CIGNA-CHLIC,0
Atazanavir,Any Condition,CIGNA-CNHIC,0
Atazanavir,Any Condition,CIGNA-LOYAL,0
Atenolol,Any Condition,ELIPS,0
Atenolol,Any Condition,LUMICO,0
Atezolizumab,Any Condition,AETNA,0
Atripla,Any Condition,AETNA,0
Atripla,Any Condition,CIGNA-CHLIC,0
Atripla,Any Condition,CIGNA-CNHIC,0
Atripla,Any Condition,CIGNA-LOYAL,0
Atrovent,Any Condition,BFAM,0
Atrovent,Any Condition,ELIPS,0
Atrovent,Any Condition,LUMICO,0
Aubagio,Any Condition,AETNA,0
Auranofin,Any Condition,AETNA,0
Auranofin,Any Condition,ELIPS,0
Auranofin,Any Condition,LUMICO,0
Aurolate,Any Condition,AETNA,0
Auryxia,Any Condition,AETNA,0
Austedo,Any Condition,AETNA,0
Avastin,Any Condition,AETNA,0
Avinza,Any Condition,AETNA,0
Avinza,Any Condition,CIGNA-CHLIC,0
Avinza,Any Condition,CIGNA-CNHIC,0
Avinza,Any Condition,CIGNA-LOYAL,0
Avonex,Any Condition,AETNA,0
Avonex,Any Condition,CIGNA-CHLIC,0
Avonex,Any Condition,ELIPS,0
Avonex,Any Condition,LUMICO,0
Avonex,Any Condition,CIGNA-CNHIC,0
Avonex,Any Condition,CIGNA-LOYAL,0
Avonexpen,Any Condition,ELIPS,0
Avonexpen,Any Condition,LUMICO,0
Avsola,Any Condition,CIGNA-CHLIC,0
Avsola,Any Condition,CIGNA-CNHIC,0
Avsola,Any Condition,CIGNA-LOYAL,0
Axona,Any Condition,AETNA,0
Azapin,Any Condition,AETNA,0
Azasan,Any Condition,AETNA,0
Azasan,Any Condition,CIGNA-CHLIC,0
Azasan,Any Condition,CIGNA-CNHIC,0
Azasan,Any Condition,CIGNA-LOYAL,0
Azathioprine,Any Condition,AETNA,0
Azathioprine,Any Condition,BFAM,0
Azathioprine,Any Condition,CIGNA-CHLIC,0
Azathioprine,Any Condition,ELIPS,0
Azathioprine,Any Condition,LUMICO,0
Azathioprine,Any Condition,CIGNA-CNHIC,0
Azathioprine,Any Condition,CIGNA-LOYAL,0
Azidothymidine,Any Condition,ELIPS,0
Azidothymidine,Any Condition,LUMICO,0
Azidothymidine,Any Condition,AETNA,0
Azilect,Any Condition,ELIPS,0
Azilect,Any Condition,LUMICO,0
AZT,Any Condition,ELIPS,0
AZT,Any Condition,LUMICO,0
Baclofen,Any Condition,ELIPS,0
Baclofen,Any Condition,LUMICO,0
Balsalazide,Any Condition,BFAM,0
Balversa,Any Condition,AETNA,0
Baraclude,Any Condition,AETNA,0
Baraclude,Any Condition,CIGNA-CHLIC,0
Baraclude,Any Condition,ELIPS,0
Baraclude,Any Condition,LUMICO,0
Baraclude,Any Condition,CIGNA-CNHIC,0
Baraclude,Any Condition,CIGNA-LOYAL,0
Basaglar,Any Condition,ELIPS,0
Basaglar,Any Condition,LUMICO,0
Baycadron,Any Condition,ELIPS,0
Baycadron,Any Condition,LUMICO,0
BCG,Any Condition,AETNA,1
BCG,Any Condition,AETNA,0
Bedaquiline,Any Condition,AETNA,1
Belbuca,Any Condition,CIGNA-CHLIC,0
Belbuca,Any Condition,CIGNA-CNHIC,0
Belbuca,Any Condition,CIGNA-LOYAL,0
Belimumab,Any Condition,AETNA,0
Belimumab,Any Condition,CIGNA-CHLIC,0
Belimumab,Any Condition,CIGNA-CNHIC,0
Belimumab,Any Condition,CIGNA-LOYAL,0
Benlysta,Any Condition,AETNA,0
Benlysta,Any Condition,CIGNA-CHLIC,0
Benlysta,Any Condition,CIGNA-CNHIC,0
Benlysta,Any Condition,CIGNA-LOYAL,0
Benztropine,Any Condition,BFAM,0
Benztropine,Any Condition,ELIPS,0
Benztropine,Any Condition,LUMICO,0
Besremi,Any Condition,CIGNA-CHLIC,0
Besremi,Any Condition,CIGNA-CNHIC,0
Besremi,Any Condition,CIGNA-LOYAL,0
Betapace,Any Condition,AETNA,0
Betapace,Any Condition,ELIPS,0
Betapace,Any Condition,LUMICO,0
Betaseron,Any Condition,AETNA,0
Betaseron,Any Condition,ELIPS,0
Betaseron,Any Condition,LUMICO,0
Bethanechol,Any Condition,AETNA,0
Bevacizumab,Any Condition,AETNA,0
Bexarotene,Any Condition,AETNA,0
Bexarotene,Any Condition,CIGNA-CHLIC,0
Bexarotene,Any Condition,CIGNA-CNHIC,0
Bexarotene,Any Condition,CIGNA-LOYAL,0
Bexxar,Any Condition,AETNA,0
Bexxar,Any Condition,ELIPS,0
Bexxar,Any Condition,LUMICO,0
Bicalutamide,Any Condition,AETNA,0
Bicalutamide,Any Condition,BFAM,0
Bicalutamide,Any Condition,CIGNA-CHLIC,0
Bicalutamide,Any Condition,ELIPS,0
Bicalutamide,Any Condition,LUMICO,0
Bicalutamide,Any Condition,CIGNA-CNHIC,0
Bicalutamide,Any Condition,CIGNA-LOYAL,0
Bidil,Any Condition,AETNA,0
Biktarvy,Any Condition,AETNA,0
Biperiden,Any Condition,ELIPS,0
Biperiden,Any Condition,LUMICO,0
Bivigam,Any Condition,CIGNA-CHLIC,0
Bivigam,Any Condition,CIGNA-CNHIC,0
Bivigam,Any Condition,CIGNA-LOYAL,0
Blenoxane,Any Condition,AETNA,0
Blenoxane,Any Condition,ELIPS,0
Blenoxane,Any Condition,LUMICO,0
Bleomycin,Any Condition,AETNA,0
Bleomycin,Any Condition,ELIPS,0
Bleomycin,Any Condition,LUMICO,0
Bloxiverz,Any Condition,AETNA,0
Brentuximab Vedotin,Any Condition,AETNA,0
Brentuximabvedotin,Any Condition,ELIPS,0
Brentuximabvedotin,Any Condition,LUMICO,0
Brexpiprazole,Any Condition,ELIPS,0
Brexpiprazole,Any Condition,LUMICO,0
Brilinta,Any Condition,AETNA,0
Brilinta,Any Condition,ELIPS,0
Brilinta,Any Condition,LUMICO,0
Bromocriptine,Any Condition,ELIPS,0
Bromocriptine,Any Condition,LUMICO,0
Brovana,Any Condition,BFAM,0
Bumetanide,Any Condition,ELIPS,0
Bumetanide,Any Condition,LUMICO,0
Bumetanide (More Than 1 Mg),Any Condition,AETNA,0
Bumex,Any Condition,ELIPS,0
Bumex,Any Condition,LUMICO,0
Bumex (More Than 1 Mg),Any Condition,AETNA,0
Bunavail,Any Condition,AETNA,0
Bunavail,Any Condition,CIGNA-CHLIC,0
Bunavail,Any Condition,ELIPS,0
Bunavail,Any Condition,LUMICO,0
Bunavail,Any Condition,CIGNA-CNHIC,0
Bunavail,Any Condition,CIGNA-LOYAL,0
Buprenex,Any Condition,CIGNA-CHLIC,0
